group,baseline_iou,refined_iou,delta_iou,baseline_bf,refined_bf,delta_bf
all parts,0.739,0.740,0.0010000000000000009,0.807,0.803,-0.0040000000000000036
basket,0.726,0.729,0.0030000000000000027,0.792,0.791,-0.0010000000000000009
belt,0.708,0.655,-0.052999999999999936,0.907,0.841,-0.06600000000000006
bench,0.712,0.713,0.0010000000000000009,0.712,0.699,-0.013000000000000012
bicycle,0.691,0.675,-0.015999999999999903,0.807,0.800,-0.007000000000000006
blender,0.786,0.787,0.0010000000000000009,0.841,0.839,-0.0020000000000000018
book,0.732,0.733,0.0010000000000000009,0.881,0.880,-0.0010000000000000009
bottle,0.755,0.756,0.0010000000000000009,0.814,0.815,0.0010000000000000009
bowl,0.765,0.766,0.0010000000000000009,0.819,0.817,-0.0020000000000000018
box,0.775,0.778,0.0030000000000000027,0.737,0.739,0.0020000000000000018
broom,0.965,0.965,0.0,1.000,1.000,0.0
bucket,0.796,0.804,0.008000000000000007,0.902,0.891,-0.01100000000000001
calculator,0.772,0.769,-0.0030000000000000027,0.764,0.753,-0.01100000000000001
can,0.744,0.757,0.013000000000000012,0.793,0.781,-0.01200000000000001
car_(automobile),0.714,0.714,0.0,0.866,0.859,-0.007000000000000006
carton,0.859,0.857,-0.0020000000000000018,0.807,0.799,-0.008000000000000007
cellular_telephone,0.762,0.772,0.010000000000000009,0.744,0.755,0.01100000000000001
chair,0.747,0.753,0.006000000000000005,0.817,0.811,-0.005999999999999894
clock,0.682,0.664,-0.018000000000000016,0.887,0.875,-0.01200000000000001
crate,0.742,0.745,0.0030000000000000027,0.756,0.749,-0.007000000000000006
cup,0.748,0.765,0.017000000000000015,0.914,0.904,-0.010000000000000009
dog,0.723,0.720,-0.0030000000000000027,0.650,0.625,-0.025000000000000022
drill,nan,nan,nan,nan,nan,nan
drum_(musical_instrument),nan,nan,nan,nan,nan,nan
earphone,0.705,0.713,0.008000000000000007,0.891,0.907,0.016000000000000014
fan,0.756,0.746,-0.010000000000000009,0.862,0.826,-0.03600000000000003
glass_(drink_container),0.787,0.791,0.0040000000000000036,0.839,0.827,-0.01200000000000001
guitar,0.720,0.722,0.0020000000000000018,0.769,0.790,0.02100000000000002
hammer,0.595,0.595,0.0,0.578,0.573,-0.0050000000000000044
handbag,0.760,0.765,0.0050000000000000044,0.796,0.794,-0.0020000000000000018
hat,0.745,0.746,0.0010000000000000009,0.900,0.898,-0.0020000000000000018
helmet,0.703,0.703,0.0,0.902,0.901,-0.0010000000000000009
jar,0.783,0.790,0.007000000000000006,0.849,0.849,0.0
kettle,0.697,0.704,0.007000000000000006,0.746,0.758,0.01200000000000001
knife,0.788,0.787,-0.0010000000000000009,0.844,0.845,0.0010000000000000009
ladder,0.628,0.594,-0.03400000000000003,0.743,0.611,-0.132
lamp,0.810,0.807,-0.0030000000000000027,0.901,0.904,0.0030000000000000027
laptop_computer,0.797,0.800,0.0030000000000000027,0.799,0.794,-0.0050000000000000044
microwave_oven,0.769,0.763,-0.006000000000000005,0.866,0.862,-0.0040000000000000036
mirror,0.742,0.765,0.02300000000000002,0.782,0.814,0.03199999999999992
mouse_(computer_equipment),0.745,0.744,-0.0010000000000000009,0.826,0.828,0.0020000000000000018
mug,0.781,0.799,0.018000000000000016,0.883,0.879,-0.0040000000000000036
newspaper,0.788,0.788,0.0,0.535,0.532,-0.0030000000000000027
pan_(for_cooking),0.748,0.738,-0.010000000000000009,0.830,0.811,-0.018999999999999906
pen,0.741,0.741,0.0,0.908,0.909,0.0010000000000000009
pencil,0.803,0.794,-0.009000000000000008,0.960,0.961,0.0010000000000000009
pillow,0.690,0.685,-0.004999999999999893,0.553,0.543,-0.010000000000000009
pipe,0.693,0.710,0.017000000000000015,0.867,0.881,0.014000000000000012
plastic_bag,0.768,0.766,-0.0020000000000000018,0.714,0.717,0.0030000000000000027
