method,group,mean_iou,boundary_f,matched,gt,recall_at_0_5
local_r50_fpn_val,all parts,0.739,0.807,10333,20945,0.493
local_r50_fpn_val,basket,0.726,0.792,252,484,0.521
local_r50_fpn_val,belt,0.708,0.907,164,260,0.631
local_r50_fpn_val,bench,0.712,0.712,259,464,0.558
local_r50_fpn_val,bicycle,0.691,0.807,456,897,0.508
local_r50_fpn_val,blender,0.786,0.841,47,70,0.671
local_r50_fpn_val,book,0.732,0.881,519,1138,0.456
local_r50_fpn_val,bottle,0.755,0.814,663,1540,0.431
local_r50_fpn_val,bowl,0.765,0.819,327,639,0.512
local_r50_fpn_val,box,0.775,0.737,251,479,0.524
local_r50_fpn_val,broom,0.965,1.000,1,2,0.500
local_r50_fpn_val,bucket,0.796,0.902,41,94,0.436
local_r50_fpn_val,calculator,0.772,0.764,1,4,0.250
local_r50_fpn_val,can,0.744,0.793,64,152,0.421
local_r50_fpn_val,car_(automobile),0.714,0.866,1109,2192,0.506
local_r50_fpn_val,carton,0.859,0.807,4,11,0.364
local_r50_fpn_val,cellular_telephone,0.762,0.744,170,275,0.618
local_r50_fpn_val,chair,0.747,0.817,422,1074,0.393
local_r50_fpn_val,clock,0.682,0.887,89,154,0.578
local_r50_fpn_val,crate,0.742,0.756,54,120,0.450
local_r50_fpn_val,cup,0.748,0.914,144,230,0.626
local_r50_fpn_val,dog,0.723,0.650,552,856,0.645
local_r50_fpn_val,drill,nan,nan,0,2,0.000
local_r50_fpn_val,drum_(musical_instrument),nan,nan,0,4,0.000
local_r50_fpn_val,earphone,0.705,0.891,12,45,0.267
local_r50_fpn_val,fan,0.756,0.862,17,40,0.425
local_r50_fpn_val,glass_(drink_container),0.787,0.839,357,576,0.620
local_r50_fpn_val,guitar,0.720,0.769,19,34,0.559
local_r50_fpn_val,hammer,0.595,0.578,2,4,0.500
local_r50_fpn_val,handbag,0.760,0.796,187,420,0.445
local_r50_fpn_val,hat,0.745,0.900,88,306,0.288
local_r50_fpn_val,helmet,0.703,0.902,55,145,0.379
local_r50_fpn_val,jar,0.783,0.849,141,354,0.398
local_r50_fpn_val,kettle,0.697,0.746,13,20,0.650
local_r50_fpn_val,knife,0.788,0.844,184,263,0.700
local_r50_fpn_val,ladder,0.628,0.743,15,43,0.349
local_r50_fpn_val,lamp,0.810,0.901,240,388,0.619
local_r50_fpn_val,laptop_computer,0.797,0.799,384,507,0.757
local_r50_fpn_val,microwave_oven,0.769,0.866,87,121,0.719
local_r50_fpn_val,mirror,0.742,0.782,40,96,0.417
local_r50_fpn_val,mouse_(computer_equipment),0.745,0.826,128,225,0.569
local_r50_fpn_val,mug,0.781,0.883,199,324,0.614
local_r50_fpn_val,newspaper,0.788,0.535,6,17,0.353
local_r50_fpn_val,pan_(for_cooking),0.748,0.830,27,89,0.303
local_r50_fpn_val,pen,0.741,0.908,32,123,0.260
local_r50_fpn_val,pencil,0.803,0.960,6,29,0.207
local_r50_fpn_val,pillow,0.690,0.553,18,52,0.346
local_r50_fpn_val,pipe,0.693,0.867,14,42,0.333
local_r50_fpn_val,plastic_bag,0.768,0.714,101,177,0.571
local_r50_fpn_val,plate,0.672,0.556,170,456,0.373
local_r50_fpn_val,pliers,nan,nan,0,0,nan
local_r50_fpn_val,remote_control,0.699,0.788,88,191,0.461
local_r50_fpn_val,scarf,0.761,0.720,40,71,0.563
local_r50_fpn_val,scissors,0.735,0.773,94,217,0.433
local_r50_fpn_val,screwdriver,0.876,1.000,1,3,0.333
local_r50_fpn_val,shoe,0.645,0.843,421,1464,0.288
local_r50_fpn_val,slipper_(footwear),0.734,0.472,2,9,0.222
local_r50_fpn_val,soap,0.738,0.882,63,125,0.504
local_r50_fpn_val,sponge,0.716,1.000,1,2,0.500
local_r50_fpn_val,spoon,0.751,0.848,184,317,0.580
