index,object,semantic_part,baseline_iou,refined_iou,delta_iou,baseline_bf,refined_bf,delta_bf
0,belt,loop,0.6771929824561403,0.6771929824561403,0.0,0.831013916500994,0.831013916500994,0.0
1,belt,strap,0.6167837949565936,0.9185667752442996,0.301782980287706,0.49299882748529517,1.0,0.5070011725147048
2,bicycle,wheel,0.9185667752442996,0.7718120805369127,-0.1467546947073869,1.0,0.9354838709677419,-0.06451612903225812
3,mug,handle,0.7651006711409396,0.5892255892255892,-0.1758750819153504,0.9354838709677419,0.6766690162118618,-0.25881485475588006
4,mug,rim,0.572463768115942,0.8716012084592145,0.2991374403432725,1.0,1.0,0.0
5,mug,rim,0.6206896551724138,0.8200956937799043,0.1994060386074905,1.0,0.8698630136986302,-0.13013698630136983
6,chair,leg,0.553411131059246,0.7086743044189853,0.15526317335973927,0.6048979017220085,0.7024793388429753,0.09758143712096679
7,bowl,inner_body,0.8780487804878049,0.6,-0.2780487804878049,1.0,0.8756218905472637,-0.12437810945273631
8,bowl,body,0.8231357552581262,0.6398985629754861,-0.18323719228264013,0.8737201365187713,0.7180122145068184,-0.15570792201195294
9,bowl,body,0.7040650406504065,0.6675191815856778,-0.036545859064728736,0.7273366127898806,0.7671232876712328,0.039786674881352235
10,bowl,rim,0.6078431372549019,0.7142857142857143,0.10644257703081239,0.8756218905472637,1.0,0.12437810945273631
11,chair,back,0.7135874877810362,0.7518463810930576,0.03825889331202137,0.8511431385214915,0.7484717894318107,-0.10267134908968079
12,mug,drawing,0.670076726342711,0.8971070682970474,0.22703034195433647,0.7671232876712328,0.6259097662347431,-0.1412135214364897
13,mug,handle,0.7012987012987013,0.6072398190045248,-0.09405888229417647,1.0,0.8035830760533984,-0.1964169239466016
14,mug,body,0.5,0.6293706293706294,0.12937062937062938,0.6347113884555382,0.9781021897810218,0.3433908013254836
15,chair,seat,0.688337801608579,0.5121951219512195,-0.17614267965735952,0.6308201420652151,1.0,0.3691798579347849
16,chair,seat,0.8967883066520831,0.6474358974358975,-0.24935240921618562,0.6106087048495427,0.8457711442786069,0.23516243942906423
17,chair,leg,0.6123748862602366,0.7820895522388059,0.16971466597856932,0.8092815096706149,0.9755344601373775,0.1662529504667627
18,mug,drawing,0.6474358974358975,0.5407407407407407,-0.10669515669515672,0.8457711442786069,0.7218704738257811,-0.12390067045282582
19,bicycle,down_tube,0.772189349112426,0.9069767441860465,0.13478739507362048,0.9755344601373775,1.0,0.024465539862622454
20,bicycle,fork,0.5335753176043557,0.565,0.03142468239564422,0.7086914995224451,0.5647517039922103,-0.14393979553023484
21,bicycle,top_tube,0.9011627906976745,0.7771428571428571,-0.12401993355481733,1.0,1.0,0.0
